vulnerability_type,vulnerable_code
Buffer Overflow,"import java.util.Scanner;
public class BufferOverflowVulnerability {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        System.out.print(""Enter a string: "");
        String userInput = scanner.next();
        char[] buffer = new char[10];
        userInput.getChars(0, userInput.length(), buffer, 0);
        System.out.println(""User input: "" + new String(buffer));
    }
}"
Buffer Overflow,"import java.util.Scanner;
public class BufferOverflowExample {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        System.out.print(""Enter a string: "");
        String userInput = scanner.nextLine();
        char[] buffer = new char[10];
        userInput.getChars(0, userInput.length(), buffer, 0);
        System.out.println(""Buffer contents: "" + new String(buffer));
    }
}"
Buffer Overflow,"import java.util.Scanner;
public class BufferOverflowExample {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        System.out.print(""Enter your name: "");
        String name = scanner.nextLine();
        char[] buffer = new char[10];
        for (int i = 0; i < name.length(); i++) {
            buffer[i] = name.charAt(i);
        }
    }
}"
Buffer Overflow,"import java.util.Scanner;
public class BufferOverflowVulnerability {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        System.out.print(""Enter a string: "");
        String userInput = scanner.next();
        char[] buffer = new char[10];
        userInput.getChars(0, userInput.length(), buffer, 0);
        System.out.println(""Buffer content: "" + new String(buffer));
    }
}"
Buffer Overflow,"import java.util.Scanner;
public class BufferOverflowVulnerability {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        System.out.print(""Enter your name: "");
        String name = scanner.next();
        char[] buffer = new char[10];
        for (int i = 0; i < name.length(); i++) {
            buffer[i] = name.charAt(i);
        }
        System.out.println(""Hello, "" + new String(buffer));
    }
}"
Buffer Overflow,"import java.util.Scanner;
public class BufferOverflowVulnerability {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        System.out.print(""Enter a string: "");
        String input = scanner.nextLine();
        char[] buffer = new char[10];
        input.getChars(0, input.length(), buffer, 0);
        System.out.println(""Buffer contents: "" + new String(buffer));
    }
}"
Buffer Overflow,"import java.util.Scanner;
public class BufferOverflowVulnerability {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        System.out.print(""Enter a string: "");
        String input = scanner.nextLine();
        char[] buffer = new char[10];
        input.getChars(0, input.length(), buffer, 0);
        System.out.println(""Buffer content: "" + new String(buffer));
    }
}"
Buffer Overflow,"import java.util.Scanner;
public class BufferOverflowVulnerability {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        System.out.print(""Enter a string: "");
        String userInput = scanner.nextLine();
        char[] buffer = new char[10]; 
        userInput.getChars(0, userInput.length(), buffer, 0);
        System.out.println(""Buffer content: "" + new String(buffer));
    }
}"
Buffer Overflow,"import java.util.Scanner;
public class BufferOverflowExample {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        System.out.print(""Enter a string: "");
        String userInput = scanner.nextLine();
        char[] buffer = new char[10]; 
        for (int i = 0; i < userInput.length(); i++) {
            buffer[i] = userInput.charAt(i);
        }
        System.out.println(""User input copied into buffer successfully!"");
    }
}"
Buffer Overflow,"import java.util.Scanner;
public class BufferOverflowVulnerability {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        System.out.print(""Enter a string: "");
        String input = scanner.nextLine();
        char[] buffer = new char[10];
        for (int i = 0; i < input.length(); i++) {
            buffer[i] = input.charAt(i);
        }
    }
}"
Buffer Overflow,"import java.util.Scanner;
public class BufferOverflowExample {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        System.out.print(""Enter a string: "");
        String input = scanner.nextLine();
        char[] buffer = new char[10];
        input.getChars(0, input.length(), buffer, 0);
        System.out.println(""Buffer content: "" + new String(buffer));
    }
}"
Buffer Overflow,"import java.util.Scanner;
public class BufferOverflowVulnerability {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        System.out.print(""Enter a string: "");
        String input = scanner.nextLine();
        char[] buffer = new char[10];
        int length = Math.min(input.length(), buffer.length);
        for (int i = 0; i < length; i++) {
            buffer[i] = input.charAt(i);
        }
        System.out.println(""Buffer content: "" + new String(buffer));
    }
}"
Buffer Overflow,"import java.util.Scanner;
public class BufferOverflowVulnerability {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        System.out.print(""Enter your name: "");
        String name = scanner.next();
        char[] buffer = new char[10];
        for (int i = 0; i < name.length(); i++) {
            buffer[i] = name.charAt(i); 
        }
        System.out.println(""Hello, "" + new String(buffer));
    }
}"
Buffer Overflow,"import java.util.Scanner;
public class BufferOverflowExample {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        System.out.print(""Enter a string: "");
        String input = scanner.next();
        char[] buffer = new char[10];
        input.getChars(0, input.length(), buffer, 0); 
        System.out.println(""Buffer content: "" + new String(buffer));
    }
}"
Buffer Overflow,"import java.util.Scanner;
public class BufferOverflowExample {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        System.out.print(""Enter your name: "");
        String name = scanner.nextLine();
        char[] buffer = new char[10]; 
        name.getChars(0, name.length(), buffer, 0);
        System.out.println(""Hello, "" + new String(buffer));
    }
}"
